,Vehicle Full Code,Vehicle Code,OEM Model Name,SIAM Company Code,SIAM Segment 1,SIAM Segment 2,SIAM Fuel,Production Qty,Domestic Sale,Export Sale,Category Name,YrMth
0,HMPVF2U4DI,PV,PAJRO SFX,HINDUSTAN MOTORS LTD,SUV,UV4:,DIESEL,0,0,0,Utility vehicles PV,01-11-2012
1,HMORF2U4DI,OR,OUTLANDER,HINDUSTAN MOTORS LTD,SUV,UV4:,DIESEL,0,0,0,Utility vehicles PV,01-11-2012
2,SKOAP3EEDI,OA,Octavia,SKODAAUTO INDIA PVT LTD,Premium Car 3,Executive,DIESEL,0,0,0,Passenger car PV,01-11-2012
3,HMORF2U4PT,OR,OUTLANDER,HINDUSTAN MOTORS LTD,SUV,UV4:,PETROL,0,6,0,Utility vehicles PV,01-11-2012
4,FMTXF1U3PT,TX,Trax,FORCE MOTORS LTD,MPV,UV3,PETROL,0,0,0,Utility vehicles PV,01-05-2012
5,FMTXF1U3DI,TX,Trax,FORCE MOTORS LTD,MPV,UV3,DIESEL,0,15,0,Utility vehicles PV,01-05-2012
6,FMFOF2U3PT,FO,Force One,FORCE MOTORS LTD,SUV,UV3,PETROL,0,0,0,Utility vehicles PV,01-05-2012
7,TMAAF2U3DI,AA,Aria,TATA MOTORS LTD,SUV,UV3,DIESEL,0,67,0,Utility vehicles PV,01-05-2012
8,TMXNF2U3DI,XN,Xenon,TATA MOTORS LTD,SUV,UV3,DIESEL,0,9,0,Utility vehicles PV,01-05-2012
9,GMCPF2U4PT,CP,Captiva,GENERAL MOTORS INDIA PVT LTD,SUV,UV4:,PETROL,0,0,0,Utility vehicles PV,01-11-2012
10,GMCPF2U4DI,CP,Captiva,GENERAL MOTORS INDIA PVT LTD,SUV,UV4:,DIESEL,0,66,0,Utility vehicles PV,01-11-2012
11,SKLUODEEPT,LU,Laura,SKODAAUTO INDIA PVT LTD,D,Executive,PETROL,0,22,0,Passenger car PV,01-11-2012
12,SKLUODEEDI,LU,Laura,SKODAAUTO INDIA PVT LTD,D,Executive,DIESEL,0,187,0,Passenger car PV,01-11-2012
13,RIRFODEEDI,RF,Renault FLUENCE,RENAULT INDIA PVT LTD,D,Executive,DIESEL,0,72,0,Passenger car PV,01-11-2012
14,RIRFODEEPT,RF,Renault FLUENCE,RENAULT INDIA PVT LTD,D,Executive,PETROL,0,10,0,Passenger car PV,01-11-2012
15,MSKIOEEEDI,KI,Kizashi,MARUTI SUZUKI INDIA LTD,E,Executive,DIESEL,0,0,0,Passenger car PV,01-11-2012
